Unit1 教室
classroom /ˈklɑːsruːm/ 教室
window /ˈwɪndəʊ/ 窗户
blackboard /ˈblækbɔːd/ 黑板
light /laɪt/ 电灯
picture /ˈpɪktʃə(r)/ 图画
door /dɔː(r)/ 门
teacher's desk 讲台
computer /kəmˈpjuːtə(r)/ 电脑
fan /fæn/ 风扇
wall /wɔːl/ 墙
floor /flɔː(r)/ 地板
really /ˈriːəli/ 真的
near /nɪə(r)/ 在…… 旁边
clean /kliːn/ 打扫；干净的
help /help/ 帮助
Unit2 书包物品
schoolbag /ˈskuːlbæɡ/ 书包
Chinese book 语文书
English book 英语书
maths book 数学书
storybook /ˈstɔːribʊk/ 故事书
candy /ˈkændi/ 糖果
notebook /ˈnəʊtbʊk/ 笔记本
toy /tɔɪ/ 玩具
key /kiː/ 钥匙
lost /lɒst/ 丢失
so much 非常地
Unit3 朋友外貌性格
tall /tɔːl/ 高的
short /ʃɔːt/ 矮的
thin /θɪn/ 瘦的
strong /strɒŋ/ 强壮的
quiet /ˈkwaɪət/ 安静的
friendly /ˈfrendli/ 友好的
his /hɪz/ 他的
her /hɜː(r)/ 她的
right /raɪt/ 正确的
Unit4 家里房间
home /həʊm/ 家
bedroom /ˈbedruːm/ 卧室
living room 客厅
study /ˈstʌdi/ 书房
kitchen /ˈkɪtʃɪn/ 厨房
bathroom /ˈbɑːθruːm/ 浴室；洗手间
bed /bed/ 床
phone /fəʊn/ 电话
table /ˈteɪbl/ 桌子
sofa /ˈsəʊfə/ 沙发
fridge /frɪdʒ/ 冰箱
find /faɪnd/ 找到
them /ðəm/ 他们（宾格）
Unit5 餐具 & 食物
beef /biːf/ 牛肉
chicken /ˈtʃɪkɪn/ 鸡肉
noodles /ˈnuːdlz/ 面条
soup /suːp/ 汤
vegetable /ˈvedʒtəbl/ 蔬菜
chopsticks /ˈtʃɒpstɪks/ 筷子
bowl /bəʊl/ 碗
fork /fɔːk/ 餐叉
knife /naɪf/ 刀
spoon /spuːn/ 勺子
dinner /ˈdɪnə(r)/ （中午或晚上吃的）正餐
ready /ˈredi/ 准备好
help yourself 为（自己）取用
pass /pɑːs/ 给；递
try /traɪ/ 试；尝试
Unit6 家庭成员职业
family /ˈfæməli/ 家庭
parents /ˈpeərənts/ 父母
cousin /ˈkʌzn/ 堂 / 表兄弟姐妹
uncle /ˈʌŋkl/ 叔叔；舅舅
aunt /ɑːnt/ 姑姑；阿姨
baby brother 婴儿小弟弟
doctor /ˈdɒktə(r)/ 医生
cook /kʊk/ 厨师
driver /ˈdraɪvə(r)/ 司机
farmer /ˈfɑːmə(r)/ 农民
nurse /nɜːs/ 护士
people /ˈpiːpl/ 人；人们
little /ˈlɪtl/ 小的
puppy /ˈpʌpi/ 小狗
football player 足球运动员
